steps	episodes	elapsed	mean	median	stdev	max	min	low_con_average_q1	low_con_average_q2	low_con_average_q_func1_loss	low_con_average_q_func2_loss	low_con_average_policy_loss	low_con_q1_recent_variance	low_con_q2_recent_variance	low_con_policy_gradients_variance	low_con_policy_gradients_mean	low_con_policy_n_updates	low_con_q_func_n_updates	low_con_policy_update_kldivergence	low_con_policy_update_one_step_kldivergence	high_con_average_q1	high_con_average_q2	high_con_average_q_func1_loss	high_con_average_q_func2_loss	high_con_average_policy_loss	high_con_q1_recent_variance	high_con_q2_recent_variance	high_con_policy_gradients_variance	high_con_policy_gradients_mean	high_con_policy_n_updates	high_con_q_func_n_updates	high_con_policy_update_kldivergence	high_con_temperature_mean	high_con_entropy_mean	low_con_temperature_mean	low_con_entropy_mean	final_x	final_y	final_z	prev_subgoal_x	prev_subgoal_y	prev_subgoal_z	cur_subgoal_x	cur_subgoal_y	cur_subgoal_z	state_reached_diff	state_reached_direction_diff	subgoals_mag_diff	subgoals_direction_diff
9400745	11726	378019.660793066	-152.27683373071562	-172.86097203159954	96.75587144384363	-0.08042752058980399	-268.0685164249444	-569.7327	-569.971	10.203301014900207	9.862989246845245	563.8080853271484	43509.184	42913.14	0.0	0.0	4699123	9398246	12.963691711425781	0.0261421799659729	273.07	272.89832	3.9923540449142454	3.8412649607658387	-275.93233673095705	4133.4775	4102.749	0.0	0.0	469913	939827	644.9351806640625	0.023714380173012615	-0.3788556282520294	nan	nan	0.5978519409769589	0.6414105931357867	0.839581281309602	-0.7733985514952346	0.8342805112068168	0.9006036513246949	-0.7780446548435016	-0.5706518224358037	0.8957726847209992	1.3165886563661842	-0.9649657074791105	1.4049483216934167	0.4880850596354071
9405751	11732	378192.6742157936	-106.9078869061792	-138.00342918559636	104.5469224021059	-0.09215539692493388	-238.64973333704953	-567.2754	-568.261	9.686731958389283	9.41475647687912	562.3010186767578	32351.59	32477.37	0.0	0.0	4701626	9403252	10.001116752624512	0.014940977096557617	274.9318	274.7377	4.021890275478363	3.879289274215698	-278.42151794433596	4197.8525	4158.322	0.0	0.0	470164	940328	862.1641235351562	0.023785082226619125	-0.3887437840104103	nan	nan	0.8354340460618739	0.951245804363994	0.9511674721802279	-0.9663544302635629	0.9227182783436978	0.6894604487705578	-0.9599176208351445	0.9236711724245459	0.6921069901614705	1.5012069675392228	0.33293032684564305	0.007024578569630026	0.9999902655779868
9410756	11737	378370.47859048843	-177.73481516408046	-189.29711454088388	116.35869002660912	-0.0581838902161551	-311.3845275313954	-564.6845	-564.7714	9.849159128665924	9.545967597961425	562.7418383789062	30929.318	30788.176	0.0	0.0	4704128	9408257	8.920333862304688	0.026614367961883545	271.77505	271.861	4.005264012813568	3.8973840975761416	-278.3039602661133	4018.7563	3979.7676	0.0	0.0	470414	940828	601.60888671875	0.023875268675386904	-0.39674170047044754	nan	nan	0.6001804331207701	0.22379532342775943	0.8416664625147583	-1.0027982774424375	0.9748823361660941	-0.27085406595499295	-1.0043949273797663	0.9750352679512047	-0.27147032508952984	1.4259029003754422	-0.7832113724822835	0.0017182707802233155	0.9999997193192092
9415762	11743	378555.74094724655	-243.97810390904525	-248.69139310482532	79.37772888025376	-140.57398948661958	-321.6024594428613	-565.45825	-565.73535	9.01121054172516	8.670326294898986	556.4867413330078	32168.254	32364.37	0.0	0.0	4706631	9413263	10.002803802490234	0.14617055654525757	272.36874	272.21774	3.8578815412521363	3.7044294977188112	-279.2513461303711	3614.3743	3597.371	0.0	0.0	470664	941329	578.8651733398438	0.02397846096381545	-0.395665667116642	nan	nan	-0.3312872613370932	0.9910542071870871	0.9691896087212541	0.5516531289868851	0.3404969170783174	0.3210977552205827	0.553043207121497	0.340686898515143	0.3217107150356031	0.7248600802443306	-0.9284278808025422	0.001531055159520469	0.9999996921134917
9420769	11750	378741.6168217659	-176.3626696506878	-191.98826629936488	27.709594439945228	-141.86027627997782	-198.62104866699127	-555.1926	-555.0982	9.111258907318115	8.885596042871475	555.4704742431641	23592.7	23502.396	0.0	0.0	4709135	9418270	20.949308395385742	0.13717085123062134	273.36624	273.4505	4.044406747817993	3.8987201833724976	-277.10412658691405	3886.5508	3801.5286	0.0	0.0	470914	941829	369.7243347167969	0.024086365267634392	-0.3994526598751545	nan	nan	0.8558935626625912	0.9221172244102431	0.9452850737013798	-0.9818599400207872	0.9811950397501197	-0.6816542477610295	-0.9793126165466599	0.9802575198416241	-0.6801519991310689	1.5435558778533116	0.9265164876200459	0.003102346113328415	0.9999997140642302
9425775	11756	378920.7028644085	-167.1758517989948	-192.57671988961704	112.3216654411215	-0.05997853460411102	-296.25138987383997	-559.7834	-559.71063	9.699804496765136	9.478715102672577	554.2173260498047	26610.965	26440.406	0.0	0.0	4711638	9423276	12.073307991027832	0.018401384353637695	273.39636	273.12775	4.07478404045105	3.904095768928528	-277.8862265014648	4366.591	4239.1562	0.0	0.0	471165	942330	509.0035400390625	0.0242046833448112	-0.40279861181974413	nan	nan	-0.494831572221445	0.9872211331260887	1.0006336939746863	-0.9808288778734826	0.9781573605138973	0.8786912199761694	-0.9817752330218223	0.9777579350890651	0.8783314066542507	1.6405362683342055	-0.12397618385928302	0.0010883907218557842	0.9999997833089054
9430780	11761	379099.6274046898	-153.71456636467096	-162.5643377466926	99.77338837486141	-0.08868127116526846	-279.92824377072236	-554.45575	-554.7562	9.818631210327148	9.602178235054016	555.8566595458984	26525.24	26826.129	0.0	0.0	4714140	9428281	12.575291633605957	0.01076442003250122	278.1298	277.557	4.174476776123047	3.945856533050537	-279.08568572998047	4324.3135	4267.0864	0.0	0.0	471415	942830	397.3470153808594	0.024336323061957956	-0.4078650110661983	nan	nan	0.4011739482958163	0.3333856771115853	0.770262168210891	-0.9803152696007387	0.9693052286803483	0.8618836112250894	-0.980778884681865	0.9690830238584087	0.8617364517799764	1.6259270709643479	-0.1291285609860803	0.0005347614689064324	0.9999999468154427
9435786	11767	379287.03837037086	-231.47035824856866	-289.39637981411545	96.55323434980151	-103.0504220762642	-310.7497653135121	-562.36914	-562.16254	9.173765988349915	8.97627558708191	552.963935546875	38741.445	38450.98	0.0	0.0	4716643	9433287	2.0257887840270996	0.014162421226501465	276.75165	276.97443	4.026604838371277	3.8755384635925294	-280.79261810302734	4126.6494	4200.5938	0.0	0.0	471665	943331	436.7427673339844	0.024471619866788388	-0.4112839701771736	nan	nan	-1.0840069954035745	-0.02022137209446906	-0.17470670596572957	-0.5090656658742898	0.9641249926814548	0.7637378011551987	-0.5065579693309579	0.9626009793141066	0.7634100584031898	1.3289080250116418	0.7622951175014042	0.002952723151395905	0.9999989659475222
9440796	11777	379459.8440644741	-123.90824281960231	-106.66790695852639	134.14425625385522	-0.056637311993345645	-310.7497653135121	-561.10767	-561.48364	9.065550272464753	8.831621656417846	553.508794555664	30014.688	29749.578	0.0	0.0	4719148	9438297	10.712410926818848	0.02328866720199585	273.8645	274.06857	4.15628532409668	3.8820148372650145	-281.76563262939453	3779.5903	3822.5483	0.0	0.0	471916	943832	696.6527709960938	0.024610638381913304	-0.42049032002687453	nan	nan	-1.0857215224515102	-0.020864614595824116	-0.17279640746653935	-0.34578060817357037	0.5598832665098707	-1.0023736063825783	-0.34333067718915533	0.5589200724179717	-1.0030125230349554	1.19845806043258	0.22966171864365661	0.0027088963021405484	0.9999975802152108
9445803	11784	379640.2828769684	-149.67677660035596	-144.9223094296284	106.17727615645938	-0.05085646361306243	-297.7798173520576	-552.65765	-552.10626	9.982633557319641	9.757894043922425	551.5534283447265	25345.756	24902.49	0.0	0.0	4721652	9443304	23.289140701293945	0.00422823429107666	278.8112	279.0741	4.142722136974335	3.865213897228241	-280.63895233154295	4089.5515	4087.459	0.0	0.0	472166	944333	560.1812744140625	0.024780335864052178	-0.4323508498966694	nan	nan	-0.2770419546615658	0.830717885828957	0.9994149012778222	-0.5439465879153051	0.9435107039566035	0.9941804227357065	-0.5438411101441551	0.9440160380063893	0.9939076978443699	1.4747141909300268	-0.17222666857714447	0.0005838381012183419	0.9999999239564826
